frame,offset
0,54.588448
1,40.970154
2,10.927669
3,83.534561
4,40.173405
5,55.461407
6,52.722076
7,85.490067
8,88.501678
9,92.780045
10,59.822765
11,92.735435
12,87.732765
13,49.575562
14,89.663429
15,72.618683
16,72.863625
17,79.054596
18,7.56096
19,18.58709
20,86.934341
21,28.170105
22,85.803886
23,5.266317
24,52.890427
25,74.300629
26,25.168186
27,56.958775
28,98.34523
29,32.274254
30,36.898453
31,18.875929
32,6.8351
33,94.150009
34,40.662842
35,69.746857
36,6.846979
37,67.830551
38,24.559359
39,53.261135
40,61.915844
41,80.779655
42,54.781662
43,51.389771
44,84.170433
45,51.237637
46,76.088882
47,66.667778
48,15.762299
49,94.971077
50,21.670483
51,38.396587
52,16.990849
53,39.165981
54,25.652142
55,36.739735
56,99.843559
57,67.254066
58,23.172827
59,7.110392
60,94.560448
61,34.480541
62,49.097832
63,60.745232
64,43.017544
65,97.466797
66,19.420723
67,13.171064
68,27.880478
69,72.839195
70,40.790562
71,36.168793
72,57.168934
73,30.795553
74,18.819368
75,72.583984
76,82.224144
77,3.670638
78,94.031219
79,57.411522
80,53.190548
81,83.78186
82,7.553951
83,0.625529
84,73.581848
85,42.571495
86,15.745229
87,71.090202
88,22.173683
89,77.335686
90,30.310894
91,23.665228
92,53.477699
93,54.45771
94,93.628494
95,51.502689
96,2.037769
97,26.149414
98,40.902962
99,29.321968
100,4.803426
101,25.973938
102,57.023117
103,83.814865
104,94.816246
105,10.388923
106,38.406384
107,27.268562
108,98.175743
109,38.413406
110,74.073097
111,80.363625
112,94.529335
113,37.891911
114,43.579464
115,88.549126
116,8.782549
117,39.563511
118,57.487366
119,89.952171
120,96.987679
121,15.812613
122,25.046825
123,38.757412
124,5.845927
125,24.51943
126,65.043144
127,10.028869
128,52.510788
129,39.141792
130,70.789253
131,90.199226
132,24.428862
133,90.207016
134,46.821571
135,92.921234
136,46.242886
137,91.610886
138,69.934853
139,66.026665
140,24.762541
141,89.037491
142,90.660339
143,69.784142
144,84.61293
145,97.379196
146,80.165718
147,46.509739
148,97.102432
149,13.231318
150,24.690384
151,87.961273
152,33.86528
153,86.015686
154,93.278358
155,13.112386
156,53.764484
157,98.040733
158,55.3503
159,48.507267
160,92.979248
161,73.816666
162,41.025299
163,47.393433
164,96.297798
165,85.534966
166,88.081795
167,35.559742
168,6.152707
169,11.50316
170,57.122017
171,0.744194
172,61.159435
173,80.553375
174,22.996378
175,47.850834
176,41.88728
177,77.238953
178,28.65526
179,70.96949
180,3.64378
181,57.529087
182,70.327698
183,87.585144
184,5.988795
185,40.169159
186,68.628296
187,86.486839
188,1.681806
189,94.550453
190,72.08535
191,62.565212
192,31.946898
193,53.055492
194,4.268237
195,4.592427
196,62.311424
197,61.240311
198,35.142776
199,0.075907
200,66.834084
201,1.450085
202,56.534252
203,54.949669
204,35.006256
205,70.346947
206,24.065405
207,87.578522
208,13.79706
209,67.674042
210,65.550575
211,60.701786
212,70.601341
213,72.363617
214,30.687111
215,29.371832
216,63.170208
217,74.529877
218,91.211281
219,34.99403
220,54.62569
221,47.580399
222,96.241974
223,59.621735
224,59.651562
225,57.878773
226,71.593475
227,27.65193
228,46.580841
229,1.757404
230,11.091765
231,21.688677
232,38.907719
233,65.358932
234,91.740417
235,42.2939
236,83.937042
237,96.041328
238,75.751137
239,25.55327
240,94.915733
241,52.097832
242,61.392139
243,92.420464
244,32.601158
245,24.525806
246,53.267071
247,73.489258
248,86.614723
249,60.092945
250,71.357399
251,18.754856
252,63.345478
253,68.820312
254,80.278984
255,15.24189
256,95.905136
257,36.891438
258,4.761667
259,84.813736
260,86.999977
261,29.061399
262,85.063103
263,36.733727
264,44.777519
265,66.488487
266,55.329918
267,88.789124
268,76.361725
269,33.629601
270,54.157322
271,51.208416
272,88.550049
273,18.451651
274,80.550774
275,55.971062
276,37.771935
277,42.132771
278,74.992905
279,76.17234
280,57.805023
281,52.024925
282,15.029738
283,26.567766
284,73.810089
285,64.002762
286,68.940964
287,95.200661
288,13.894731
289,57.540546
290,67.538239
291,8.975823
292,34.596333
293,83.461792
294,37.377552
295,36.998848
296,32.124306
297,83.869781
298,36.232838
299,78.818733
300,27.851759
301,37.373833
302,69.672173
303,60.235893
304,60.772549
305,1.69803
306,1.391948
307,73.3965
308,15.272356
309,64.903152
310,79.221214
311,5.085912
312,30.94038
313,40.855236
314,25.225792
315,37.853889
316,74.533775
317,39.987438
318,78.788689
319,56.655239
320,79.228355
321,20.494257
322,37.342804
323,6.692145
324,23.252537
325,17.436338
326,1.188491
327,89.962326
328,88.763672
329,15.642922
330,25.759798
331,0.97927
332,67.290321
333,10.463957
334,32.16151
335,47.426765
336,94.178612
337,12.799253
338,57.392189
339,88.347046
340,98.022118
341,71.162819
342,8.277472
343,6.347275
344,35.9118
345,23.902571
346,65.349045
347,37.324619
348,88.147568
349,95.783882
350,34.795971
351,30.545179
352,13.592163
353,28.232676
354,74.216949
355,73.549377
356,43.576077
357,30.591972
358,59.932713
359,9.389353
360,36.553871
361,5.483843
362,99.756241
363,80.65416
364,41.55386
365,37.979786
366,0.440964
367,38.020756
368,17.841993
369,64.420959
370,72.229065
371,8.741078
372,65.801407
373,11.280506
374,7.901651
375,94.184395
376,46.190594
377,70.966972
378,57.3568
379,41.796474
380,43.165932
381,7.853333
382,42.218063
383,90.69873
384,31.931463
385,82.706741
386,95.502724
387,67.925415
388,15.384861
389,24.859282
390,46.75798
391,98.438683
392,53.145752
393,24.315617
394,23.714615
395,23.207521
396,97.906342
397,5.675083
398,15.992401
399,52.465542
400,12.317974
401,0.566132
402,51.041401
403,33.104324
404,0.865286
405,29.535782
406,4.677622
407,76.418579
408,1.211832
409,17.367575
410,39.142696
411,97.408424
412,72.534622
413,66.64518
414,62.198147
415,1.584046
416,53.316273
417,25.824097
418,83.356628
419,78.681488
420,37.758003
421,25.195753
422,82.002846
423,85.082535
424,52.385677
425,66.396294
426,72.43811
427,9.841812
428,8.905222
429,91.139526
430,70.954315
431,90.332359
432,58.991829
433,56.506378
434,59.400055
435,6.005526
436,79.913658
437,54.201801
438,21.878475
439,87.071053
440,37.173161
441,66.009117
442,83.913811
443,16.512308
444,86.668129
445,46.475792
446,65.484322
447,15.678179
448,73.142921
449,95.41069
450,42.309616
451,93.480728
452,79.630318
453,33.349014
454,92.616646
455,61.439857
456,38.589279
457,52.176212
458,18.923208
459,55.512978
460,76.654945
461,37.942669
462,39.864578
463,12.200858
464,60.818928
465,13.978539
466,98.532104
467,95.79277
468,67.308861
469,6.307497
470,25.589804
471,50.17252
472,19.825741
473,6.884335
474,75.410103
475,89.102554
476,29.852652
477,20.583506
478,50.000511
479,77.549728
480,92.457481
481,1.216045
482,19.254656
483,31.993418
484,90.031059
485,81.125999
486,2.816261
487,78.439537
488,31.903564
489,24.570105
490,32.011745
491,5.376217
492,20.165543
493,2.342389
494,73.971992
495,29.114357
496,61.662334
497,0.913571
498,81.0924
499,34.772121
500,78.002846
501,47.316536
502,14.546321
503,64.600143
504,4.339613
505,35.833496
506,62.879555
507,97.969902
508,16.942972
509,16.47477
510,34.48069
511,5.670776
512,30.378489
513,99.728546
514,70.333832
515,85.370285
516,75.090736
517,46.221245
518,29.318174
519,84.707466
520,24.253391
521,2.863467
522,9.097007
523,23.72187
524,96.685417
525,19.058741
526,24.138813
527,88.79174
528,77.365471
529,50.254082
530,87.725967
531,25.034863
532,67.876495
533,36.796555
534,53.583775
535,58.390827
536,67.295158
537,18.86998
538,43.190929
539,6.746619
540,55.574707
541,65.815125
542,33.707619
543,36.098354
544,94.89196
545,56.017895
546,43.775902
547,3.892926
548,43.89072
549,14.022306
550,70.805321
551,4.199811
552,32.885963
553,60.290054
554,63.51767
555,83.219246
556,44.447605
557,3.916142
558,54.896065
559,84.429062
560,20.833145
561,87.368645
562,88.196114
563,42.2658
564,93.278282
565,12.479319
566,80.278992
567,55.368076
568,14.988593
569,4.440935
570,68.440315
571,15.254933
572,60.593803
573,93.429779
574,1.878745
575,83.670151
576,40.798
577,65.934219
578,35.785172
579,46.965611
580,39.555866
581,29.05724
582,52.388287
583,95.384621
584,37.324936
585,65.629951
586,92.084305
587,21.433046
588,69.788841
589,48.132019
590,86.380814
591,83.325455
592,31.431602
593,31.069799
594,58.526264
595,42.023438
596,51.065971
597,54.003651
598,33.830502
599,8.21505
600,87.358871
601,29.03681
602,88.617783
603,78.066833
604,33.337944
605,12.045711
606,99.969193
607,64.801201
608,55.716789
609,62.71468
610,43.14819
611,93.984619
612,46.786655
613,65.391212
614,34.313393
615,9.372139
616,92.369392
617,86.244743
618,40.227882
619,44.236496
620,40.131435
621,29.574663
622,35.138748
623,20.248775
624,25.130211
625,46.176716
626,9.042654
627,14.252491
628,69.427551
629,47.588024
630,91.369347
631,9.15809
632,24.291515
633,12.321334
634,47.87183
635,78.183228
636,16.778875
637,29.400707
638,66.201302
639,38.76342
640,28.510738
641,92.187393
642,5.334839
643,59.973038
644,41.211845
645,50.264675
646,73.456497
647,55.721497
648,7.551533
649,28.339886
650,71.319916
651,51.031326
652,84.190971
653,79.67614
654,99.382553
655,93.468048
656,25.503717
657,41.936432
658,68.981842
659,34.914501
660,76.60421
661,15.69267
662,71.524147
663,35.754551
664,16.426771
665,21.543121
666,75.056328
667,99.321175
668,13.793228
669,18.885675
670,5.717501
671,65.884041
